process,flow,code,value,unit,input,year,comments,type,process_location,supplying_location
Electricity production_Bioenergy_CCS_ReEDS,Acetaldehyde,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,7.32e-07,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Ammonia,9990b51b-7023-4700-bca0-1a32ef921f74,2.088e-05,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Arsenic,f4d0a2c8-efef-4188-85da-5801097389a2,1.2e-08,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Benzene,1bb6a502-3ff9-4a79-835c-5588b855f1f5,1.092e-05,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,"Benzene, ethyl-",7c09916a-b6b5-47f5-bdf6-30d2511beb82,3.599999999999999e-07,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,"Benzene, hexachloro-",1af44724-172c-462b-b277-bb4b2fd32c33,8.64e-14,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Benzo(a)pyrene,2cbb504a-ce2f-40e9-9d38-e130e95a1242,6.000000000000001e-09,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Bromine,77c46f0e-c8c0-4bc3-992c-2a9725d49f70,7.199999999999999e-07,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Cadmium,36e53653-1338-42c7-816c-f6667809e0b1,8.399999999999999e-09,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Calcium,a912f450-5233-489b-a2e9-8c029fab480f,7.02e-05,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,"Carbon dioxide, non-fossil",eba59fd6-f37e-41dc-9ca3-c7ea22d602c7,0.187,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,"Carbon monoxide, non-fossil",9afa0173-ecbd-4f2c-9c5c-b3128a032812,8.4e-05,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Chlorine,247ac273-60fa-4e21-9408-793f75fa1d37,2.16e-06,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Chromium,7705f0e1-5b14-44f4-b330-1245b5c7fc08,4.752e-08,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Chromium VI,7a59e8d5-cd11-4ee7-b1ca-30979d2b0b3a,4.8e-10,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Copper,88cde01c-df69-40bb-9b14-6eac71bea5b8,2.64e-07,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Dinitrogen monoxide,6dc1b46f-ee89-4495-95c4-b8a637bcd6cb,2.76e-05,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",237a5f15-8119-472a-8988-88b7ecb42405,3.72e-13,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Fluorine,aa567547-9821-456a-8412-e726735eeb29,6e-07,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Formaldehyde,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,1.56e-06,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,"Heat, waste",b411ec8b-c60a-4235-a3b2-8bf8443cbc55,11.844,megajoule,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,"Hydrocarbons, aliphatic, alkanes, unspecified",bfa26b15-5340-441e-acb4-0bb19a4028d3,1.092e-05,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,"Hydrocarbons, aliphatic, unsaturated",34837fe3-4332-493c-86bb-95a207d9c234,3.72e-05,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Lead,6a903634-c97f-4c49-a7c0-88f0e6ac7a23,2.988e-07,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Magnesium,ebfe261d-ab0d-4ade-8743-183c8c6bdcc6,4.332e-06,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Manganese,b0546417-3064-4878-bd6f-2da75cefdf63,2.052e-06,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Mercury,a850e6de-a007-432f-be7f-ce6e2cf1f2ae,3.6e-09,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,"Methane, non-fossil",baf58fc9-573c-419c-8c16-831ac03203b9,5.208e-06,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,"NMVOC, non-methane volatile organic compounds, unspecified origin",175baa64-d985-4c5e-84ef-67cc3a1cf952,7.319999999999999e-06,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Nickel,e43a270f-4f88-4789-a0b8-7aba56677743,7.2e-08,kilogram,FALSE,2040,none,biosphere,AL,no information
Electricity production_Bioenergy_CCS_ReEDS,Nitrogen oxides,d068f3e2-b033-417b-a359-ca4f25da9731,0.0004357935909011,kilogram,FALSE,2040,from Reeds,biosphere,AL,no information
